failure_id,transaction_id,failure_reason,failure_time
1,2,insufficient_balance,2023-06-14 00:34:00
2,16,timeout,2023-06-13 00:21:00
3,18,insufficient_balance,2023-12-30 00:19:00
4,37,bank_declined,2023-01-19 00:17:00
5,41,network_error,2023-12-08 00:00:00
6,65,network_error,2023-03-04 00:38:00
7,68,insufficient_balance,2023-10-11 00:17:00
8,78,timeout,2023-01-28 00:17:00
9,86,insufficient_balance,2023-05-08 00:11:00
10,93,timeout,2023-03-16 00:30:00
11,114,insufficient_balance,2023-11-04 00:17:00
12,116,network_error,2023-02-07 00:14:00
13,121,bank_declined,2023-08-09 00:44:00
14,123,bank_declined,2023-03-27 00:18:00
15,130,timeout,2023-03-27 00:09:00
16,137,insufficient_balance,2023-05-18 00:19:00
17,149,timeout,2023-02-27 00:42:00
18,151,insufficient_balance,2023-07-03 00:56:00
19,163,insufficient_balance,2023-10-04 00:09:00
20,171,insufficient_balance,2023-01-03 00:59:00
21,174,timeout,2023-12-13 00:27:00
22,175,bank_declined,2023-12-19 00:05:00
23,176,timeout,2023-05-08 00:00:00
24,192,bank_declined,2023-03-05 00:56:00
25,200,bank_declined,2023-04-29 00:11:00
26,209,timeout,2023-09-26 00:24:00
27,213,timeout,2023-11-07 00:32:00
28,219,bank_declined,2023-12-23 00:26:00
29,244,timeout,2023-09-07 00:24:00
30,258,network_error,2023-03-28 00:29:00
31,266,insufficient_balance,2023-08-10 00:40:00
32,268,timeout,2023-08-20 00:01:00
33,274,network_error,2023-09-06 00:47:00
34,278,network_error,2023-06-02 00:05:00
35,288,timeout,2023-10-24 00:15:00
36,304,network_error,2023-02-16 00:03:00
37,312,timeout,2023-12-18 00:14:00
38,321,timeout,2023-08-28 00:24:00
39,331,bank_declined,2023-05-27 00:10:00
40,334,bank_declined,2023-08-17 00:59:00
41,339,timeout,2023-03-20 00:53:00
42,340,bank_declined,2023-07-10 00:22:00
43,346,bank_declined,2023-12-10 00:00:00
44,351,insufficient_balance,2023-01-31 00:03:00
45,361,bank_declined,2023-01-01 00:37:00
46,363,insufficient_balance,2023-10-04 00:04:00
47,370,network_error,2023-06-28 00:13:00
48,371,timeout,2023-04-06 00:41:00
49,372,timeout,2023-04-09 00:35:00
50,385,network_error,2023-06-05 00:19:00
51,388,network_error,2023-08-20 00:38:00
52,405,timeout,2023-01-17 00:43:00
53,417,network_error,2023-08-26 00:18:00
54,420,bank_declined,2023-12-29 00:34:00
55,423,timeout,2023-07-15 00:41:00
56,463,timeout,2023-09-12 00:20:00
57,465,bank_declined,2023-10-25 00:44:00
58,474,network_error,2023-08-01 00:03:00
59,481,insufficient_balance,2023-01-21 00:29:00
60,498,insufficient_balance,2023-07-29 00:41:00
61,502,bank_declined,2023-08-03 00:22:00
62,510,timeout,2023-06-13 00:13:00
63,518,bank_declined,2023-07-06 00:09:00
64,525,insufficient_balance,2023-08-18 00:49:00
65,528,insufficient_balance,2023-12-08 00:12:00
66,539,insufficient_balance,2023-05-08 00:45:00
67,558,bank_declined,2023-04-29 00:07:00
68,571,bank_declined,2023-09-28 00:18:00
69,580,bank_declined,2023-04-01 00:20:00
70,584,network_error,2023-09-28 00:58:00
71,595,insufficient_balance,2023-05-02 00:36:00
72,605,bank_declined,2023-09-07 00:02:00
73,606,network_error,2023-03-11 00:23:00
74,620,bank_declined,2023-12-05 00:03:00
75,628,bank_declined,2023-12-06 00:31:00
76,637,insufficient_balance,2023-11-28 00:07:00
77,644,timeout,2023-06-28 00:15:00
78,655,network_error,2023-12-01 00:36:00
79,674,network_error,2023-08-28 00:51:00
80,676,insufficient_balance,2023-12-21 00:43:00
81,686,timeout,2023-05-10 00:51:00
82,687,timeout,2023-05-27 00:26:00
83,695,bank_declined,2023-06-13 00:48:00
84,699,insufficient_balance,2023-09-19 00:15:00
85,701,timeout,2023-12-25 00:12:00
86,717,bank_declined,2023-05-04 00:06:00
87,731,insufficient_balance,2023-02-06 00:15:00
