transaction_id,user_id,transaction_date,amount,status,payment_method
1,1029,2023-11-11,831.09,success,upi
2,1814,2023-06-14,937.08,failed,card
3,3729,2023-02-19,739.54,success,upi
4,5514,2023-05-11,851.39,success,card
5,3527,2023-02-26,2117.3,success,card
6,4804,2023-08-11,6343.13,success,wallet
7,6570,2023-01-19,1165.7,success,upi
8,1051,2023-05-16,674.45,success,upi
9,8319,2023-08-28,311.93,success,card
10,6279,2023-10-04,42.19,success,wallet
11,1653,2023-07-08,4121.12,success,upi
12,8200,2023-02-28,1246.63,success,upi
13,4709,2023-02-02,404.73,success,upi
14,9477,2023-05-04,527.59,success,upi
15,5319,2023-02-01,4494.36,success,wallet
16,5860,2023-06-13,3130.66,failed,upi
17,6616,2023-04-30,4359.64,success,wallet
18,8371,2023-12-30,2855.61,failed,card
19,6594,2023-12-22,574.35,success,wallet
20,3596,2023-02-15,916.06,success,upi
21,4911,2023-10-13,3077.98,success,card
22,3255,2023-02-02,747.31,success,wallet
23,4454,2023-01-27,3523.89,success,card
24,2424,2023-08-24,1096.3,success,card
25,8109,2023-02-02,1603.52,success,wallet
26,4798,2023-01-05,102.98,success,card
27,6982,2023-02-23,1055.65,success,card
28,9943,2023-03-13,3356.03,success,upi
29,7938,2023-09-12,5185.08,success,wallet
30,6682,2023-09-17,3963.9,success,wallet
31,4878,2023-12-20,3050.32,success,upi
32,4178,2023-03-23,331.75,success,card
33,3430,2023-10-24,1302.76,success,wallet
34,185,2023-01-13,13.47,success,wallet
35,3134,2023-01-13,2349.54,success,upi
36,4979,2023-12-07,2331.86,success,upi
37,8699,2023-01-19,896.82,failed,wallet
38,6138,2023-12-19,365.45,success,wallet
39,1933,2023-05-12,421.8,success,upi
40,6175,2023-08-24,2244.69,success,card
41,5413,2023-12-08,4488.17,failed,wallet
42,1197,2023-08-28,2241.42,success,wallet
43,5248,2023-08-29,1255.96,success,upi
44,4182,2023-10-29,195.38,success,card
45,1339,2023-05-09,2060.9,success,upi
46,6172,2023-11-04,2637.16,success,wallet
47,2621,2023-07-07,2888.94,success,card
48,6547,2023-03-11,1276.2,success,upi
49,8875,2023-09-03,1785.88,success,card
50,5932,2023-12-14,1922.32,success,upi
51,1730,2023-12-29,300.7,success,wallet
52,9610,2023-09-18,4552.49,success,wallet
53,19,2023-10-16,2583.93,success,wallet
54,5972,2023-03-27,2199.04,success,wallet
55,465,2023-01-04,746.03,success,card
56,8883,2023-03-22,189.87,success,card
57,9203,2023-09-27,1561.99,success,upi
58,5311,2023-09-01,638.82,success,card
59,8080,2023-05-18,1459.63,success,upi
60,4021,2023-06-09,1194.62,success,upi
61,163,2023-12-07,4636.08,success,card
62,9828,2023-01-16,1285.89,success,wallet
63,295,2023-05-18,1228.2,success,card
64,8771,2023-12-07,23.93,success,wallet
65,7241,2023-03-04,1636.86,failed,card
66,6845,2023-06-19,5814.1,success,wallet
67,1586,2023-06-22,448.25,success,upi
68,3381,2023-10-11,556.99,failed,upi
69,5428,2023-05-29,3095.95,success,upi
70,6813,2023-09-25,2132.09,success,upi
71,195,2023-08-13,1095.72,success,upi
72,9034,2023-11-02,488.72,success,card
73,6344,2023-09-30,1145.24,success,upi
74,2932,2023-08-16,4437.4,success,card
75,7042,2023-12-24,551.24,success,card
76,5700,2023-10-24,5875.68,success,wallet
77,8638,2023-04-27,3197.94,success,wallet
78,8272,2023-01-28,1939.78,failed,upi
79,4841,2023-04-10,452.9,success,wallet
80,7637,2023-12-06,3173.69,success,wallet
81,1861,2023-10-02,2356.58,success,wallet
82,5562,2023-08-21,1548.16,success,wallet
83,931,2023-02-20,623.57,success,upi
84,1935,2023-09-09,986.01,success,card
85,4368,2023-03-28,1520.22,success,wallet
86,2172,2023-05-08,4078.44,failed,card
87,3295,2023-03-19,1812.65,success,wallet
88,4748,2023-08-02,520.66,success,card
89,4393,2023-11-03,3710.89,success,upi
90,5239,2023-10-10,6668.55,success,wallet
91,2835,2023-01-04,1742.3,success,wallet
92,9847,2023-02-01,3071.0,success,card
93,7117,2023-03-16,222.58,failed,card
94,2929,2023-01-14,935.03,success,card
95,7426,2023-03-07,6261.98,success,wallet
96,5751,2023-01-30,4135.64,success,upi
97,6495,2023-09-14,2462.61,success,wallet
98,1673,2023-12-31,5090.96,success,card
99,8191,2023-09-07,5219.19,success,upi
100,7445,2023-04-11,159.73,success,card
101,4351,2023-12-22,3867.97,success,wallet
102,1288,2023-07-20,1038.87,success,upi
103,6611,2023-02-02,650.78,success,upi
104,9251,2023-07-13,6094.28,success,upi
105,8794,2023-04-16,4392.99,success,upi
106,6884,2023-05-13,659.22,success,wallet
107,5188,2023-10-27,281.1,success,wallet
108,131,2023-11-08,1433.58,success,card
109,8045,2023-01-14,4619.79,success,wallet
110,8303,2023-03-03,1679.3,success,upi
111,2735,2023-09-09,4563.25,success,card
112,9023,2023-06-25,459.96,success,wallet
113,8858,2023-07-26,645.55,success,wallet
114,1067,2023-11-04,2975.05,failed,upi
115,4971,2023-01-06,1452.25,success,upi
116,3789,2023-02-07,991.85,failed,wallet
117,1318,2023-03-21,651.87,success,upi
118,285,2023-09-17,83.75,success,card
119,6967,2023-02-16,3364.32,success,card
120,7795,2023-08-12,770.26,success,wallet
121,4115,2023-08-09,437.46,failed,wallet
122,48,2023-02-04,4427.84,success,card
123,9961,2023-03-27,533.66,failed,card
124,6139,2023-12-13,1837.5,success,card
125,4862,2023-12-02,2038.96,success,card
126,3260,2023-10-13,2647.87,success,card
127,7843,2023-01-05,1795.2,success,upi
128,3416,2023-04-16,4631.6,success,upi
129,6451,2023-11-21,5173.44,success,card
130,8760,2023-03-27,748.88,failed,card
131,6165,2023-08-11,229.62,success,card
132,7788,2023-12-08,456.34,success,wallet
133,4066,2023-12-12,524.45,success,card
134,82,2023-03-09,14498.43,success,upi
135,3006,2023-07-22,994.16,success,upi
136,8409,2023-08-14,3543.55,success,wallet
137,335,2023-05-18,107.09,failed,upi
138,8751,2023-04-16,1819.05,success,wallet
139,9066,2023-10-26,3777.52,success,wallet
140,8945,2023-05-04,3113.89,success,wallet
141,8786,2023-12-31,512.51,success,upi
142,7069,2023-04-28,348.12,success,upi
143,9871,2023-07-19,6765.12,success,wallet
144,3898,2023-11-21,299.78,success,upi
145,7959,2023-05-23,2838.33,success,wallet
146,8102,2023-12-07,256.72,success,upi
147,4649,2023-03-30,489.77,success,wallet
148,9675,2023-01-18,1512.83,success,wallet
149,783,2023-02-27,701.5,failed,upi
150,3587,2023-04-26,508.31,success,upi
151,3795,2023-07-03,395.76,failed,upi
152,9176,2023-07-23,352.07,success,upi
153,5598,2023-04-01,2082.97,success,wallet
154,7051,2023-02-12,4357.42,success,card
155,5052,2023-12-10,3327.57,success,wallet
156,743,2023-09-26,8356.86,success,wallet
157,4545,2023-08-05,1270.94,success,card
158,4356,2023-08-22,1130.0,success,upi
159,3609,2023-11-29,773.71,success,upi
160,3272,2023-04-07,997.59,success,wallet
161,2511,2023-07-19,1701.91,success,upi
162,8286,2023-07-02,1189.55,success,card
163,6056,2023-10-04,2016.05,failed,card
164,1376,2023-05-25,4055.67,success,wallet
165,9324,2023-02-11,447.76,success,wallet
166,2517,2023-12-21,1157.98,success,wallet
167,6239,2023-10-16,176.38,success,wallet
168,91,2023-09-13,1174.52,success,wallet
169,1480,2023-08-12,122.42,success,card
170,955,2023-12-14,2673.03,success,card
171,8215,2023-01-03,829.79,failed,upi
172,9918,2023-10-24,865.18,success,card
173,3306,2023-06-17,1042.29,success,wallet
174,1722,2023-12-13,1133.84,failed,card
175,9633,2023-12-19,264.43,failed,card
176,5453,2023-05-08,1481.35,failed,wallet
177,2548,2023-06-13,3537.48,success,wallet
178,4924,2023-10-07,4967.89,success,card
179,189,2023-12-02,3074.55,success,wallet
180,460,2023-11-27,6246.49,success,upi
181,2237,2023-08-11,7.88,success,card
182,4447,2023-01-22,1692.59,success,wallet
183,581,2023-08-20,2.78,success,upi
184,2162,2023-03-01,1021.37,success,upi
185,4716,2023-11-04,5704.8,success,wallet
186,9724,2023-02-02,2523.18,success,wallet
187,9561,2023-08-03,4590.15,success,card
188,5898,2023-10-21,492.5,success,card
189,2903,2023-07-17,3070.37,success,card
190,8665,2023-07-29,1180.15,success,card
191,859,2023-05-20,3750.37,success,upi
192,2441,2023-03-05,1048.63,failed,wallet
193,1713,2023-01-20,3119.24,success,wallet
194,516,2023-05-07,2103.73,success,wallet
195,7356,2023-08-12,927.24,success,card
196,1376,2023-02-09,2111.74,success,upi
197,6685,2023-01-08,557.23,success,upi
198,3670,2023-01-08,330.56,success,upi
199,2391,2023-05-05,146.09,success,card
200,3263,2023-04-29,5479.06,failed,upi
201,4639,2023-01-15,3053.63,success,card
202,2867,2023-07-12,1143.41,success,card
203,7849,2023-09-04,12.89,success,upi
204,9252,2023-01-18,1874.46,success,card
205,8949,2023-06-12,331.8,success,wallet
206,3496,2023-07-08,378.84,success,upi
207,6495,2023-07-04,600.12,success,upi
208,188,2023-01-25,4627.75,success,wallet
209,4579,2023-09-26,4138.48,failed,card
210,8094,2023-07-10,381.05,success,upi
211,2715,2023-04-23,163.22,success,wallet
212,7409,2023-03-14,1366.47,success,card
213,296,2023-11-07,767.15,failed,wallet
214,3534,2023-01-13,6448.99,success,upi
215,4141,2023-04-28,245.37,success,upi
216,4043,2023-02-22,578.31,success,upi
217,4271,2023-09-28,486.34,success,upi
218,3052,2023-03-01,2299.66,success,card
219,5466,2023-12-23,137.29,failed,card
220,7734,2023-04-03,770.35,success,upi
221,9993,2023-01-29,200.59,success,upi
222,6006,2023-05-21,3509.24,success,upi
223,5871,2023-01-20,1682.57,success,upi
224,3905,2023-08-10,2123.38,success,wallet
225,2262,2023-05-25,965.53,success,wallet
226,9715,2023-10-25,2971.07,success,upi
227,1421,2023-11-22,1691.6,success,upi
228,6694,2023-10-16,345.83,success,wallet
229,8297,2023-03-29,2195.06,success,card
230,479,2023-05-25,2093.98,success,upi
231,5519,2023-01-02,959.47,success,wallet
232,6578,2023-05-12,623.51,success,upi
233,6786,2023-09-09,2156.89,success,wallet
234,8885,2023-04-26,1347.61,success,upi
235,3039,2023-08-23,1227.74,success,card
236,194,2023-07-15,1494.75,success,card
237,9682,2023-06-10,5671.7,success,card
238,59,2023-12-21,2360.26,success,upi
239,1887,2023-12-18,1657.68,success,upi
240,4574,2023-07-01,2157.71,success,upi
241,5223,2023-02-12,2200.08,success,card
242,2581,2023-08-18,510.33,success,wallet
243,4645,2023-08-31,1483.22,success,upi
244,7624,2023-09-07,3923.81,failed,wallet
245,221,2023-11-11,164.94,success,wallet
246,876,2023-12-26,2577.64,success,wallet
247,1197,2023-10-26,919.97,success,card
248,2710,2023-04-10,1739.71,success,upi
249,2732,2023-09-21,3483.07,success,wallet
250,336,2023-08-07,1477.26,success,upi
251,8417,2023-11-16,637.27,success,upi
252,7015,2023-08-18,2747.43,success,card
253,1248,2023-07-12,2350.36,success,wallet
254,8181,2023-02-05,283.67,success,wallet
255,3958,2023-01-26,1097.36,success,upi
256,7112,2023-09-28,2004.24,success,upi
257,4590,2023-03-10,1654.51,success,wallet
258,1887,2023-03-28,2869.17,failed,wallet
259,311,2023-09-03,4167.32,success,upi
260,1605,2023-01-06,708.85,success,card
261,5660,2023-12-01,3186.57,success,upi
262,3983,2023-07-26,775.85,success,card
263,8561,2023-11-05,4953.91,success,card
264,3547,2023-05-31,99.42,success,upi
265,4842,2023-01-31,1320.98,success,wallet
266,6175,2023-08-10,2313.34,failed,wallet
267,5352,2023-02-26,2519.52,success,card
268,8018,2023-08-20,465.04,failed,wallet
269,998,2023-12-21,1176.28,success,upi
270,497,2023-07-24,2003.08,success,card
