user_id,signup_date,country,city,acquisition_channel
1,2022-04-13,India,Indore,ads
2,2023-03-12,India,Pune,referral
3,2024-05-10,India,Delhi,ads
4,2022-09-28,India,Delhi,ads
5,2022-04-17,India,Mumbai,organic
6,2022-03-13,India,Indore,organic
7,2023-12-02,India,Delhi,organic
8,2022-01-21,India,Jammu,ads
9,2023-09-07,India,Indore,ads
10,2022-05-02,India,Indore,referral
11,2023-04-12,India,Jammu,ads
12,2022-08-03,India,Pune,ads
13,2022-11-27,India,Jammu,ads
14,2023-04-04,India,Jammu,referral
15,2022-03-29,India,Pune,organic
16,2023-01-08,India,Pune,referral
17,2022-04-10,India,Pune,ads
18,2024-05-21,India,Pune,ads
19,2023-10-26,India,Pune,ads
20,2022-05-11,India,Jammu,referral
21,2023-10-24,India,Mumbai,ads
22,2022-11-05,India,Mumbai,ads
23,2024-02-09,India,Delhi,organic
24,2022-12-10,India,Mumbai,ads
25,2023-05-07,India,Mumbai,organic
26,2023-02-18,India,Jammu,referral
27,2024-03-16,India,Pune,ads
28,2023-01-21,India,Pune,ads
29,2022-07-11,India,Jammu,ads
30,2022-10-04,India,Mumbai,ads
31,2022-06-10,India,Jammu,ads
32,2023-04-05,India,Delhi,organic
33,2022-11-10,India,Pune,ads
34,2022-01-22,India,Indore,referral
35,2022-09-10,India,Delhi,ads
36,2024-01-18,India,Delhi,ads
37,2024-05-06,India,Jammu,ads
38,2023-07-15,India,Mumbai,organic
39,2023-04-20,India,Pune,ads
40,2022-02-28,India,Indore,referral
41,2023-05-26,India,Delhi,organic
42,2023-11-13,India,Indore,referral
43,2023-04-21,India,Mumbai,organic
44,2023-12-01,India,Mumbai,ads
45,2024-02-22,India,Indore,referral
46,2022-07-09,India,Pune,referral
47,2023-11-18,India,Mumbai,referral
48,2023-07-17,India,Indore,ads
49,2024-05-25,India,Delhi,organic
50,2023-07-21,India,Indore,ads
51,2022-09-01,India,Indore,ads
52,2024-04-11,India,Jammu,organic
53,2023-05-20,India,Mumbai,referral
54,2022-05-11,India,Pune,organic
55,2023-04-30,India,Pune,referral
56,2024-03-29,India,Jammu,ads
57,2023-10-09,India,Pune,ads
58,2022-01-21,India,Indore,organic
59,2024-04-20,India,Jammu,ads
60,2022-06-16,India,Delhi,referral
61,2022-10-01,India,Mumbai,ads
62,2023-01-23,India,Mumbai,ads
63,2023-08-24,India,Mumbai,organic
64,2022-11-12,India,Indore,ads
65,2022-01-14,India,Delhi,referral
66,2022-08-30,India,Jammu,ads
67,2024-02-16,India,Jammu,ads
68,2022-12-12,India,Mumbai,referral
69,2023-07-19,India,Delhi,ads
70,2024-06-16,India,Delhi,referral
71,2022-12-06,India,Delhi,ads
72,2022-04-02,India,Pune,ads
73,2023-01-02,India,Pune,referral
74,2023-03-31,India,Mumbai,referral
75,2023-03-04,India,Delhi,ads
76,2023-05-24,India,Delhi,organic
77,2024-02-15,India,Jammu,referral
78,2022-02-04,India,Jammu,ads
79,2022-07-25,India,Mumbai,ads
80,2022-03-22,India,Delhi,organic
81,2023-07-16,India,Mumbai,ads
82,2024-05-21,India,Jammu,ads
83,2023-01-23,India,Jammu,referral
84,2022-01-02,India,Pune,ads
85,2023-01-25,India,Mumbai,referral
86,2023-07-20,India,Mumbai,organic
87,2022-04-16,India,Delhi,organic
88,2024-02-11,India,Delhi,organic
89,2024-04-01,India,Pune,ads
90,2023-04-22,India,Indore,ads
91,2023-12-04,India,Indore,ads
92,2023-02-06,India,Indore,organic
93,2023-12-31,India,Mumbai,ads
94,2023-07-10,India,Mumbai,ads
95,2022-06-11,India,Jammu,referral
96,2022-07-21,India,Mumbai,referral
97,2022-09-27,India,Mumbai,ads
98,2024-05-12,India,Mumbai,ads
99,2024-03-26,India,Pune,organic
100,2022-09-28,India,Mumbai,referral
101,2023-04-01,India,Delhi,ads
102,2023-04-07,India,Delhi,ads
103,2023-12-28,India,Jammu,referral
104,2022-09-09,India,Pune,referral
105,2023-12-03,India,Delhi,organic
106,2022-10-23,India,Pune,ads
107,2023-12-26,India,Pune,ads
108,2023-12-21,India,Jammu,organic
109,2024-01-19,India,Pune,ads
110,2022-12-04,India,Mumbai,ads
111,2024-05-28,India,Pune,ads
112,2022-02-22,India,Jammu,organic
113,2024-03-02,India,Jammu,organic
114,2022-08-05,India,Jammu,referral
115,2024-02-03,India,Delhi,organic
116,2022-07-07,India,Mumbai,referral
117,2023-01-15,India,Delhi,referral
118,2023-05-08,India,Indore,ads
119,2022-02-10,India,Mumbai,ads
120,2022-06-06,India,Pune,organic
121,2022-01-15,India,Jammu,ads
122,2024-03-23,India,Indore,referral
123,2022-03-06,India,Mumbai,ads
124,2024-05-06,India,Delhi,ads
125,2024-04-18,India,Jammu,organic
126,2023-06-05,India,Delhi,organic
127,2022-12-10,India,Mumbai,organic
128,2022-05-09,India,Mumbai,organic
129,2023-10-10,India,Indore,ads
130,2023-04-17,India,Pune,ads
131,2022-03-04,India,Delhi,referral
132,2022-05-19,India,Indore,ads
133,2023-05-14,India,Jammu,ads
134,2023-08-16,India,Pune,ads
135,2023-01-27,India,Indore,ads
136,2023-11-06,India,Delhi,organic
137,2023-02-23,India,Mumbai,organic
138,2022-10-16,India,Jammu,organic
139,2023-01-14,India,Delhi,organic
140,2024-02-12,India,Pune,ads
141,2023-05-05,India,Pune,ads
142,2022-08-19,India,Mumbai,ads
143,2022-02-10,India,Mumbai,ads
144,2022-01-28,India,Jammu,ads
145,2022-05-15,India,Jammu,ads
146,2022-07-20,India,Mumbai,organic
147,2024-04-19,India,Mumbai,organic
148,2024-02-19,India,Pune,referral
149,2022-02-02,India,Mumbai,organic
150,2022-02-17,India,Indore,ads
151,2023-05-18,India,Delhi,ads
152,2023-02-11,India,Mumbai,ads
153,2023-07-28,India,Jammu,ads
154,2023-12-29,India,Indore,ads
155,2024-03-15,India,Jammu,ads
156,2022-04-09,India,Indore,organic
157,2023-11-15,India,Mumbai,organic
158,2024-05-21,India,Delhi,organic
159,2023-12-27,India,Jammu,ads
160,2023-07-01,India,Indore,organic
161,2024-01-09,India,Pune,organic
162,2023-09-05,India,Mumbai,organic
163,2023-04-07,India,Delhi,ads
164,2023-10-05,India,Mumbai,organic
165,2024-02-08,India,Pune,organic
166,2022-01-05,India,Delhi,ads
167,2022-08-06,India,Pune,ads
168,2023-05-18,India,Mumbai,ads
